epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
38,2020-09-16,127,GO,Itapuranga,5211206,city,437,1695.90189,12,10,0,0.0229,25768,True,False
38,2020-09-16,84,GO,Itarumã,5211305,city,91,1267.76261,1,2,0,0.022,7178,True,False
38,2020-09-16,111,GO,Itauçu,5211404,city,18,201.38733,0,5,0,0.2778,8938,True,False
38,2020-09-16,171,GO,Itumbiara,5211503,city,2005,1914.22734,64,44,1,0.0219,104742,True,False
38,2020-09-16,127,GO,Ivolândia,5211602,city,34,1434.59916,3,1,0,0.0294,2370,True,False
38,2020-09-16,105,GO,Jandaia,5211701,city,241,3984.78836,4,6,0,0.0249,6048,True,False
38,2020-09-16,145,GO,Jaraguá,5211800,city,311,615.70747,3,19,0,0.0611,50511,True,False
38,2020-09-16,183,GO,Jataí,5211909,city,3035,3008.46534,45,53,0,0.0175,100882,True,False
38,2020-09-16,93,GO,Jaupaci,5212006,city,21,729.41994,0,1,0,0.0476,2879,True,False
38,2020-09-16,142,GO,Jesúpolis,5212055,city,37,1485.94378,3,2,0,0.0541,2490,True,False
38,2020-09-16,126,GO,Joviânia,5212105,city,173,2341.95208,3,3,0,0.0173,7387,True,False
38,2020-09-16,136,GO,Jussara,5212204,city,299,1618.14049,3,8,0,0.0268,18478,True,False
38,2020-09-16,37,GO,Lagoa Santa,5212253,city,5,314.86146,0,0,0,0.0,1588,True,False
38,2020-09-16,121,GO,Leopoldo de Bulhões,5212303,city,142,1856.93736,0,2,0,0.0141,7647,True,False
38,2020-09-16,176,GO,Luziânia,5212501,city,4261,2045.61712,157,94,0,0.0221,208299,True,False
38,2020-09-16,72,GO,Mairipotaba,5212600,city,17,717.90541,8,1,0,0.0588,2368,True,False
38,2020-09-16,75,GO,Mambaí,5212709,city,28,315.24431,0,0,0,0.0,8882,True,False
38,2020-09-16,132,GO,Mara Rosa,5212808,city,88,926.02336,0,2,0,0.0227,9503,True,False
38,2020-09-16,51,GO,Marzagão,5212907,city,18,805.00894,-1,0,0,0.0,2236,True,False
38,2020-09-16,87,GO,Matrinchã,5212956,city,19,436.68122,0,0,0,0.0,4351,True,False
38,2020-09-16,119,GO,Maurilândia,5213004,city,336,2386.36364,11,6,0,0.0179,14080,True,False
38,2020-09-16,101,GO,Mimoso de Goiás,5213053,city,49,1886.79245,0,1,0,0.0204,2597,True,False
38,2020-09-16,133,GO,Minaçu,5213087,city,313,1076.71139,2,13,1,0.0415,29070,True,False
38,2020-09-16,146,GO,Mineiros,5213103,city,3421,5121.18082,8,65,0,0.019,66801,True,False
38,2020-09-16,66,GO,Moiporá,5213400,city,30,1962.06671,1,1,0,0.0333,1529,True,False
38,2020-09-16,111,GO,Monte Alegre de Goiás,5213509,city,16,185.9168,0,0,0,0.0,8606,True,False
38,2020-09-16,105,GO,Montes Claros de Goiás,5213707,city,189,2346.36872,1,0,0,0.0,8055,True,False
38,2020-09-16,162,GO,Montividiu,5213756,city,363,2709.76411,11,5,0,0.0138,13396,True,False
38,2020-09-16,92,GO,Montividiu do Norte,5213772,city,40,893.05649,0,2,0,0.05,4479,True,False
38,2020-09-16,156,GO,Morrinhos,5213806,city,1435,3110.36934,47,27,0,0.0188,46136,True,False
38,2020-09-16,83,GO,Morro Agudo de Goiás,5213855,city,13,578.29181,0,0,0,0.0,2248,True,False
38,2020-09-16,100,GO,Mossâmedes,5213905,city,26,606.06061,0,1,0,0.0385,4290,True,False
